section,german,english
1. Perfekt (past tense),haben,to have (auxiliary)
1. Perfekt (past tense),sein,to be (auxiliary)
1. Perfekt (past tense),gegangen,gone (past participle)
1. Perfekt (past tense),gekommen,come (past participle)
1. Perfekt (past tense),gemacht,done / made (past participle)
1. Perfekt (past tense),gesehen,seen (past participle)
1. Perfekt (past tense),gegessen,eaten (past participle)
1. Perfekt (past tense),getrunken,drunk (past participle)
1. Perfekt (past tense),geschrieben,written (past participle)
1. Perfekt (past tense),gelesen,read (past participle)
1. Perfekt (past tense),gefahren,driven / traveled (past participle)
1. Perfekt (past tense),geflogen,flown (past participle)
1. Perfekt (past tense),genommen,taken (past participle)
1. Perfekt (past tense),gegeben,given (past participle)
1. Perfekt (past tense),gekauft,bought (past participle)
1. Perfekt (past tense),verkauft,sold (past participle)
1. Perfekt (past tense),gebracht,brought (past participle)
1. Perfekt (past tense),geholt,fetched / picked up (past participle)
1. Perfekt (past tense),geputzt,cleaned (past participle)
1. Perfekt (past tense),gewaschen,washed (past participle)
1. Perfekt (past tense),gekocht,cooked (past participle)
1. Perfekt (past tense),gebacken,baked (past participle)
1. Perfekt (past tense),geöffnet,opened (past participle)
1. Perfekt (past tense),geschlossen,closed (past participle)
1. Perfekt (past tense),geantwortet,answered (past participle)
1. Perfekt (past tense),gefragt,asked (past participle)
1. Perfekt (past tense),gehört,heard (past participle)
1. Perfekt (past tense),gesagt,said (past participle)
1. Perfekt (past tense),erzählt,told (past participle)
1. Perfekt (past tense),gelernt,learned (past participle)
1. Perfekt (past tense),gearbeitet,worked (past participle)
1. Perfekt (past tense),gespielt,played (past participle)
1. Perfekt (past tense),gewonnen,won (past participle)
1. Perfekt (past tense),verloren,lost (past participle)
1. Perfekt (past tense),gefunden,found (past participle)
1. Perfekt (past tense),gesucht,searched / looked for (past participle)
1. Perfekt (past tense),geholfen,helped (past participle)
1. Perfekt (past tense),gekannt,known (past participle)
1. Perfekt (past tense),getroffen,met (past participle)
1. Perfekt (past tense),geblieben,stayed (past participle)
1. Perfekt (past tense),geworden,become (past participle)
1. Perfekt (past tense),gestorben,died (past participle)
1. Perfekt (past tense),geboren,born (past participle)
1. Perfekt (past tense),gezogen,moved (past participle)
1. Perfekt (past tense),eingeladen,invited (past participle)
1. Perfekt (past tense),eingeschlafen,fallen asleep (past participle)
1. Perfekt (past tense),aufgestanden,gotten up (past participle)
1. Perfekt (past tense),gestern,yesterday
1. Perfekt (past tense),vorgestern,day before yesterday
1. Perfekt (past tense),schon,already
1. Perfekt (past tense),noch nicht,not yet
1. Perfekt (past tense),gerade,just / right now
1. Perfekt (past tense),noch,still / yet
1. Perfekt (past tense),nie,never
1. Perfekt (past tense),einmal,once
1. Perfekt (past tense),zweimal,twice
1. Perfekt (past tense),Ich habe … gemacht,I have done …
1. Perfekt (past tense),Ich bin … gegangen,I have gone …
2. Präteritum (simple past),war,was (past of sein)
2. Präteritum (simple past),waren,were (past of sein)
2. Präteritum (simple past),hatte,had (past of haben)
